source_pdf,page,mg_sample_no,sample_id,sample_description,sieve_mm,passing_pct
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",26.5,100.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",19.0,99.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",13.2,96.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",9.5,95.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",6.7,94.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",4.75,92.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",2.36,90.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",1.18,88.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",0.6,85.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",0.425,80.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",0.3,71.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",0.212,59.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",0.15,49.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",0.075,40.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",200.0,100.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",75.0,100.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",63.0,100.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",37.5,100.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",26.5,100.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",19.0,100.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",13.2,99.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",9.5,98.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",6.7,98.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",4.75,98.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",2.36,97.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",1.18,96.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",0.6,95.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",0.425,93.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",0.3,70.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",0.212,53.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",0.15,44.0
S26240-1_Reports__03_06_26_.pdf,16,S116203,ABH8_0.48-1.1,"Silty Clayey SAND, trace of gravel",0.075,34.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,200.0,100.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,75.0,100.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,63.0,100.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,37.5,100.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,26.5,100.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,19.0,100.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,13.2,95.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,9.5,89.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,6.7,87.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,4.75,84.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,2.36,82.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,1.18,81.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,0.6,78.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,0.425,75.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,0.3,69.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,0.212,55.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,0.15,41.0
S26240-1_Reports__03_06_26_.pdf,19,S116204,ABH2_3.5-3.95,Silty Clayey SAND with gravel,0.075,31.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,200.0,100.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,75.0,100.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,63.0,100.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,37.5,100.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,26.5,100.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,19.0,100.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,13.2,94.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,9.5,90.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,6.7,85.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,4.75,81.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,2.36,75.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,1.18,70.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,0.6,65.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,0.425,59.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,0.3,50.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,0.212,38.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,0.15,30.0
S26240-1_Reports__03_06_26_.pdf,22,S116205,ABH3_2.0-3.0,Silty Clayey SAND with gravel,0.075,24.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,200.0,100.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,75.0,100.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,63.0,100.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,37.5,100.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,26.5,100.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,19.0,100.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,13.2,98.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,9.5,93.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,6.7,88.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,4.75,86.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,2.36,81.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,1.18,77.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,0.6,70.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,0.425,62.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,0.3,47.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,0.212,29.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,0.15,21.0
S26240-1_Reports__03_06_26_.pdf,25,S116206,ABH4_3.0-3.4,Silty Clayey SAND with gravel,0.075,16.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",200.0,100.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",75.0,100.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",63.0,100.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",37.5,100.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",26.5,100.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",19.0,100.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",13.2,100.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",9.5,99.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",6.7,98.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",4.75,96.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",2.36,94.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",1.18,92.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",0.6,86.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",0.425,75.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",0.3,53.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",0.212,36.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",0.15,28.0
S26240-1_Reports__03_06_26_.pdf,29,S116208,ABH6_0.5-1.5,"Silty SAND, trace of gravel",0.075,21.0
